nombre,cif,fecha_inicio,ultimo_anyo,ventas_euros,n_empleados,provincia,ciudad,calle,lon,lat,codigo_descripcion,codigo,descripcion,pagina_web,telefono,descripcion_adecuada,x1,x2,grupo,etiqueta
INTERNATIONAL BUSINESS MACHINES SA,A28010791,1941-01-30,2023-12-31,587799000,635,Valencia,VALENCIA,"AV D'ARAGO, 30",-0.35728,39.47173,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,"Artículo 4. Objeto Social. La Sociedad tendrá por objeto las siguientes actividades: = La venta, e: alquiler y el mantenimiento de equipos electrónicos y electrodomésticos de proceso de datos y control de procesos y sistemas de tratamiento de la información. =.",www.ibm.com/es,+34 91/3976611,artículo objeto social sociedad objeto siguiente actividad venta alquiler mantenimiento equipo electrónico electrodoméstico proceso dato control proceso sistema tratamiento información,14.365767,5.0735455,0,0_servicio_actividad_objeto_desarrollo
APPLE RETAIL SPAIN SL,B65130643,2009-06-15,2024-09-30,580092000,1072,Valencia,VALENCIA,"CL COLON, 25",-0.37239,39.469,Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones en establecimientos especializados,4741.0,"Venta de ordenadores, teléfonos móviles y equipos informáticos",www.apple.com/es,+34 91/7699100,venta ordenador teléfono móviles equipo informático,10.097678,6.0676227,0,0_servicio_actividad_objeto_desarrollo
ERICSSON ESPAÑA SAU,A28858603,1983-07-28,2024-12-31,545613000,2266,Alicante,ALICANTE/ALACANT,"CM VIAL DE LOS CIPRESES, 19",-0.52659,38.34773,Otras actividades de telecomunicaciones,6190.0,Comercio al mayor de equipos electrónicos y de telecomunicaciones.,www.ericsson.com,+34 91/3391000,comercio equipo electrónico telecomunicación,9.60626,7.6539288,0,0_servicio_actividad_objeto_desarrollo
CAIXABANK TECH S.L.,B65663445,2011-10-27,2023-12-31,513600000,831,Valencia,CANET D'EN BERENGUER,"CL MARE NOSTRUM, 81",-0.20438,39.6818,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Proveedor de servicios tecnológicos al grupo caixabank,www.caixabanktech.com,+34 93/4046000,proveedor servicio tecnológico grupo caixabank,13.41228,0.22387147,0,0_servicio_actividad_objeto_desarrollo
GRUPO ELECTRO STOCKS SLU,B64471840,2007-02-14,2024-12-31,507872356,1315,Valencia,XATIVA,"CM ESTRET, 15, POL IND L'ESTRET",-0.52285,39.00043,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,"Distribución al mayor de material eléctrico, automatización, clima y fontanería.",www.grupoelectrostocks.com,+34 93/6036688,distribución material eléctrico automatización clima fontanería,10.344616,7.7319365,0,0_servicio_actividad_objeto_desarrollo
INGENIERIA Y ECONOMIA DEL TRANSPORTE SME MP SA.,A28220168,1968-07-20,2024-12-31,479715581,5830,Alicante,MONFORTE DEL CID,"CR AGOST, 367",-0.72989187,38.3792809,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Ingeniería y consultoría para el desarrollo y gestión de sistemas de transporte.,www.ineco.com,+34 91/4521200,ingeniería consultoría desarrollo gestión sistema transporte,8.665096,2.7156885,0,0_servicio_actividad_objeto_desarrollo
NOKIA SPAIN SA.,A28016921,1926-01-21,2024-12-31,455809000,784,Valencia,VALENCIA,"CL MANOLO TABERNER, 23",-0.39772,39.4722,Otras actividades de telecomunicaciones,6190.0,Mayorista de equipos electrónicos y de telecomunicación,www.proyectoscom.es,+34 91/3304000,mayorista equipo electrónico telecomunicación,9.564645,7.634962,0,0_servicio_actividad_objeto_desarrollo
DELOITTE CONSULTING SLU,B81690471,1997-03-19,2024-05-31,443607000,3900,Alicante,ALICANTE/ALACANT,"AV MAISONNAVE, 28, BIS",-0.49201,38.3435,Actividades de consultoría de gestión empresarial,7022.0,Servicios de consultoría,www.deloitte.es,+34 91/5145000,servicio consultoría,6.9602714,3.8690507,0,0_servicio_actividad_objeto_desarrollo
RIBA MUNDO TECNOLOGIA SOCIEDAD ANONIMA,A40526717,2018-09-20,2023-12-31,434252000,74,Valencia,LORIGUILLA,"CALLE TURIA, 7 - SECTOR 10 2",-0.3853014,39.4744071,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Comercio al por mayor de electrónica de consumo.,www.ribamundotecnologia.es,+34 96/1676749,comercio electrónico consumo,10.013923,8.136278,0,0_servicio_actividad_objeto_desarrollo
QUIRON PREVENCION SLU,B64076482,2006-01-13,2024-12-31,432752000,6350,Alicante,ALICANTE/ALACANT,"CL DOCTOR JUST, 11",-0.49724,38.34231,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490.0,Servicio de prevención de riesgos laborales y reconocimientos médicos para empresas,www.quironprevencion.com,+34 91/1221452,servicio prevención riesgo laboral reconocimiento médico empresa,12.697262,-0.7747452,4,4_prevención_riesgo_laboral_prevencion
DELOITTE ADVISORY SL.,B86466448,2011-06-01,2024-05-31,430084000,2012,Valencia,VALENCIA,"AV D'ARAGO, - EDIF. EUROPA, 30",-0.35728,39.47173,Actividades de consultoría de gestión empresarial,7022.0,Servicios de consultoría,www.deloitte.com,+34 91/5145000,servicio consultoría,6.959423,3.8690805,0,0_servicio_actividad_objeto_desarrollo
BITCOINFORME SL.,B54835301,2015-01-21,2023-12-31,388784169,106,Alicante,ELX/ELCHE,"CALLE GERMAN BERNACER, 69",-0.61648,38.29426,"Programación, consultoría y otras actividades relacionadas con la informática",6201.0,Tecnología financiera. Empresa Fintech especializada en la tecnología Blockchain.,www.bit2me.com,+34 91/0913788,tecnología financiero empresa fintech especializado tecnología blockchain,12.854778,3.2320733,0,0_servicio_actividad_objeto_desarrollo
"IDOM CONSULTING, ENGINEERING, ARCHITECTURE SAU",A48283964,1988-12-09,2024-12-31,376028919,3631,Valencia,REQUENA,"CL ALBOSA, 38",-1.09409,39.48609,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Servicios de ingeniería y arquitectura,www.idom.com,+34 94/4797600,servicio ingeniería arquitectura,7.9892387,2.9491553,0,0_servicio_actividad_objeto_desarrollo
VIEWNEXT SA,A80157746,1991-10-31,2024-12-31,364618000,4745,Valencia,VALENCIA,"AV D'ARAGO, EDIF. EUROPA, 30, -4J",-0.35728,39.47173,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,Servicios de gestión y desarrollo de aplicaciones del grupo IBM en España.,www.viewnext.com,+34 91/3834060,servicio gestión desarrollo aplicación grupo españa,11.074035,1.9175681,0,0_servicio_actividad_objeto_desarrollo
T SYSTEMS ITC IBERIA SAU,A81608077,1996-12-17,2024-12-31,358237000,3634,Valencia,VALENCIA,"AV DE LES CORTS VALENCIANES, SOROLLA CENTER, 58, DESPACHOS, 1005 Y 1006",-0.40151959,39.49530437,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Desarrollo de tecnologías de la información y la comunicación.,www.t-systems.com,+34 93/5015000,desarrollo tecnología información comunicación,12.864819,3.1755881,0,0_servicio_actividad_objeto_desarrollo
GAME STORES IBERIA SL,B81209751,1995-05-30,2024-04-30,348393000,1074,Alicante,ALCOI/ALCOY,"CL ELS ALÇAMORA, 44",-0.48124,38.6977,Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones en establecimientos especializados,4741.0,Venta de videojuegos y material electrónico,www.game.es,+34 90/2222055,ventar videojuego material electrónico,10.364297,6.456658,0,0_servicio_actividad_objeto_desarrollo
KPMG ASESORES SL,B82498650,1999-12-01,2024-09-30,329429000,2094,Alicante,ALICANTE/ALACANT,"AV MAISONNAVE, EDIF. OFICENTRO, 19",-0.49042,38.34337,Actividades de consultoría de gestión empresarial,7022.0,"Servicios de auditoría, fiscales y de asesoramiento legal, financiero y de negocio.",www.kpmg.es,+34 91/4563400,servicio auditoría fiscal asesoramiento legal financiero negocio,12.141261,1.0149673,0,0_servicio_actividad_objeto_desarrollo
ARROW IBERIA ELECTRONICA SL,B35497569,1997-12-01,2023-12-31,323572665,80,Valencia,VALENCIA,"CL DE FONTANARS DELS ALFORINS, 51",-0.3947,39.46028,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Comercio al por mayor de equipos y componentes eléctricos.,www.arrowecs.es,+34 91/7612121,comercio equipo componente eléctrico,9.912448,8.110901,0,0_servicio_actividad_objeto_desarrollo
FUJITSU TECHNOLOGY SOLUTIONS SA,A28472819,1977-05-04,2024-03-31,306032000,2053,Valencia,VALENCIA,"CL ALFAUIR, 45",-0.36064,39.49285,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4651.0,Comercialización de productos informáticos y de comunicación,www.fujitsu.es,+34 91/7849000,comercialización producto informático comunicación,11.875404,4.1001673,0,0_servicio_actividad_objeto_desarrollo
AYESA IBERMATICA SA.,A20038915,1973-06-06,2023-12-31,283530113,4132,Valencia,XATIVA,"CL MONCADA, 11",-0.51996,38.98922,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,"Consultoría TIC, servicios de infraestructuras, integración de sistemas de información, outsourcing e implantación de soluciones integradas de gestión empresaria",www.ibermatica.com,+34 94/3413500,consultoría servicio infraestructura integración sistema información outsourcing implantación solución integrado gestión empresario,13.700212,-0.11559481,0,0_servicio_actividad_objeto_desarrollo
EVOLUTIO CLOUD ENABLER SAU,A80448194,1992-11-13,2024-12-31,282886000,1013,Valencia,VALENCIA,"PS DE L'ALBEREDA, 1",-0.36587,39.47611,Otras actividades de telecomunicaciones,6190.0,servicios de comunicación y tecnologías de la información para empresas,www.evolutio.com,+34 91/2708000,servicio comunicación tecnología información empresa,13.133574,1.7123135,0,0_servicio_actividad_objeto_desarrollo
IDIADA AUTOMOTIVE TECHNOLOGY SA,A43581610,1999-09-08,2024-12-31,277127000,1884,Valencia,PATERNA,"AV LEONARDO VINCI, EDIF. AIMME, PQ. TECNOLOGICO, 38",-0.45484,39.54624,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,"Servicios de diseño, ingeniería, ensayos y homologación para el sector de la automoción mundial",www.applusidiada.com/es/,+34 97/7166000,servicio diseño ingeniería ensayo homologación sector automoción mundial,7.932543,3.1223185,0,0_servicio_actividad_objeto_desarrollo
SOPRA STERIA ESPAÑA SA.,A79329108,1989-12-22,2024-12-31,262156984,3997,Valencia,VALENCIA,"CL ANTIGA SENDA D'EN SENENT, 11",-0.3583,39.46577,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,"Consultoria, servicios tecnológicos y software.",www.soprasteria.es,+34 91/9026600,consultoria servicio tecnológico software,13.789364,0.29692993,0,0_servicio_actividad_objeto_desarrollo
IT NOW SA.,A58443060,1987-10-31,2024-03-31,234119000,376,Valencia,CATARROJA,"AV CAMI REAL, 21",-0.4033,39.40306,"Programación, consultoría y otras actividades relacionadas con la informática",6203.0,servicios informáticos,www.itnow.es,+34 93/4046706,servicio informático,13.268689,-0.16315241,0,0_servicio_actividad_objeto_desarrollo
DISASHOP S.L.U.,B15811300,2001-12-20,2022-12-31,233911367,136,Alicante,ALTEA,"CL CONSTITUCION, 1",-0.04727,38.6017,Otras actividades de telecomunicaciones,6190.0,Distribución de productos electrónicos de telefonía prepago,www.disashop.com/es,+34 98/1055210,distribución producto electrónico telefonía prepago,9.461849,6.7874703,0,0_servicio_actividad_objeto_desarrollo
ORACLE IBERICA SRL,B78361482,1986-11-03,2023-05-31,224615117,1445,Valencia,VALENCIA,"AV D'ARAGO, 30, PLT. BAJA, EDIF. EUROPA",-0.35728,39.47173,"Programación, consultoría y otras actividades relacionadas con la informática",6201.0,Comercialización de equipos y sistemas informáticos,www.oracle.com,+34 90/2302302,comercialización equipo sistema informático,11.872007,3.9636133,0,0_servicio_actividad_objeto_desarrollo
TECNICA Y PROYECTOS SA,A28171288,1966-10-24,2024-12-31,222828219,1882,Valencia,VALENCIA,"CL DE FONTANARS DELS ALFORINS, 55",-0.39506,39.46061,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,"La intermediación y coordinación de medios para: La realización de toda clase de estudios, diseños, y proyectos de Urbanismo, Arquitectura e Ingeniería en todas sus ramas y variantes, Socioeconomía y de Organización y Gestión de Empresas; etc.",www.typsa.com,+34 91/7227300,intermediación coordinación medio realización clase estudio diseño proyecto urbanismo arquitectura ingeniería rama variante socioeconomía organización gestión empresas,9.403845,2.6860375,0,0_servicio_actividad_objeto_desarrollo
