nombre,cif,fecha_inicio,ultimo_anyo,ventas_euros,n_empleados,provincia,ciudad,calle,lon,lat,codigo_descripcion,codigo,descripcion,pagina_web,telefono,descripcion_adecuada,x1,x2,grupo,etiqueta
ORTIZ GAMING SL,B85811875,2009-11-19,2024-12-31,5680427,4,Valencia,L'ELIANA,"CL TUEJAR, 35",-0.525301,39.576672,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490.0,Servicios informáticos para empresas.,www.ortizgaming.com,+34 91/6305731,servicio informático empresa,12.893106,0.14504144,0,0_servicio_actividad_objeto_desarrollo
BINOOVO SMART INDUSTRY SOCIEDAD LIMITADA.,B40504540,2018-06-05,2024-12-31,5634628,40,Valencia,LA POBLA DE VALLBONA,"CAMINO ASSAGADOR, 1",-0.54599,39.58461,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,"La Sociedad tiene por objeto la adquisición, dirección y gestión de participaciones en otras sociedades dedicadas a las actividades que seguidamente se relacionan, así como la colocación de los recursos financieros derivados de las mismas. Dichas actividades son las siguientes: a) La redacción y eje",www.binoovo.com,+34 96/3481134,sociedad objeto adquisición dirección gestión participación sociedad dedicado actividad seguidamente relacionar colocación recurso financiero derivado dicho actividad siguiente redacción,15.019511,4.002851,0,0_servicio_actividad_objeto_desarrollo
NEURO ENERGIA Y GESTION SOCIEDAD LIMITADA.,B95899928,2017-11-16,2023-12-31,5580039,14,Alicante,ELX/ELCHE,"CALLE VENDIMIA (TORRELLANO), 6",-0.58451,38.29166,Actividades de consultoría de gestión empresarial,7022.0,"EL DESARROLLO, LA EXPLOTACION Y LA COMERCIALIZACION DE SOFTWARE Y APLICACIONES INFORMATICAS RELACIONADAS CON LA ENERGIA..",www.neuroenergia.com,,desarrollo explotacion comercializacion software aplicación informatica relacionadas energia,12.028305,3.93047,0,0_servicio_actividad_objeto_desarrollo
COMUNICACIONES FUENLABRADA SL,B84587898,2006-01-26,2024-12-31,5525884,37,Valencia,TAVERNES DE LA VALLDIGNA,"AV DE LES GERMANIES, 30",-0.26465729,39.0717381,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Comercio al por menor de tiendas Orange.,,+34 65/5323749,comercio menor tienda orange,10.627363,8.296924,0,0_servicio_actividad_objeto_desarrollo
EPISER SL,B59934513,1991-11-28,2023-11-30,5499242,56,Valencia,VALENCIA,"CL TRES FORQUES, 122",-0.4074,39.46365,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,"LA PRESTACION DE TODA CLASE DE SERVICIOS DE ASESORAMIENTO Y GESTION ECONOMICA, FINANCIERA, CONTABLE, FISCAL, INMOBILIARIA, LABORAL, MERCANTIL, INFORMATICA, COMERCIAL, LOGISTICA, DE CALIDAD Y DE MARKETING ETC.",www.epidor.com,+34 93/8633255,prestacion clase servicios asesoramiento gestion economica financiera contable fiscal inmobiliaria laboral mercantil informatica comercial logistico calidad marketing,11.623713,0.43676808,0,0_servicio_actividad_objeto_desarrollo
ABS INFORMATICA SL,B59383596,1990-06-20,2024-12-31,5485179,59,Valencia,VALENCIA,"CL PROFESSOR BELTRAN BAGUENA, 4",-0.38923,39.48099,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Desarrollo de programas informáticos para entidades publicas.,www.absis.es,,desarrollo programa informático entidad publica,12.331561,4.135884,0,0_servicio_actividad_objeto_desarrollo
V3J INGENIERIA Y SERVICIOS SL,B96599006,1996-11-27,2024-12-31,5442293,15,Valencia,VALENCIA,"CALLE MARQUES DE DOSAIGUES, 7 - 1ºD",-0.37424,39.47303,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Estudio y desarrollo de proyectos industriales de todo tipo,www.v3jingenieria.com,+34 96/3519341,estudio desarrollo proyecto industrial tipo,12.566997,4.570756,0,0_servicio_actividad_objeto_desarrollo
IMPROVEN CONSULTING SL,B96920996,1999-11-03,2023-12-31,5416609,61,Valencia,VALENCIA,"CALLE ROGER LLORIA (ROGER DE LAURIA), 19 - PISO 3 A",-0.37324,39.46921,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,"Consultoría empresarial estratégica, estudios de mercado y recursos humanos.",www.improven.com,+34 90/0194000,consultoría empresarial estratégico estudio mercado recurso humano,11.782842,1.8930739,0,0_servicio_actividad_objeto_desarrollo
ATITLAN DESARROLLOS INMOBILIARIOS SL.,B98923402,2017-06-20,2023-12-31,5411853,3,Valencia,VALENCIA,"CALLE JOAN D'AUSTRIA, 30 - 3 PTAS 5 Y 6",-0.37204,39.47029,Actividades de consultoría de gestión empresarial,7022.0,"(i) La prestación de servicios de consultoría, organización y gestión de entidades. (ii) El asesoramiento comercial, económico y empresarial. (iii) La realización de estudios de mercado, y de viabilidad de proyectos. (iv) La tenencia por cuenta propia de acciones o participaciones en Entidades de to.",,,prestación servicio consultoría organización gestión entidad asesoramiento comercial económico empresarial realización estudio mercado viabilidad proyecto tenencia acción participación entidades,11.452874,1.0876276,0,0_servicio_actividad_objeto_desarrollo
GLOBAL IT BUSINESS SL.,B98765365,2015-09-21,2024-12-31,5388731,2,Valencia,LA POBLA DE FARNALS,"CALLE L'ALCOIA, 2 - PTA 14",-0.28624,39.56532,Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones en establecimientos especializados,4741.0,Comercio al por menor de equipos informáticos.,www.globalitb.com,+34 96/0036636,comercio menor equipo informático,11.118185,8.084634,0,0_servicio_actividad_objeto_desarrollo
TECNOLOGIA DE LA INFORMACION CARE HEALTH CONSULTING SL.,B54558382,2011-03-02,2024-12-31,5371102,92,Alicante,TORREVIEJA,"AV CORTES VALENCIANAS, 24",-0.67762,37.98693,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Actividades relacionadas con la informática y consultoría sanitaria.,www.tichconsulting.com,+34 96/5708027,actividad relacionado informática consultoría sanitario,14.224109,1.1639032,0,0_servicio_actividad_objeto_desarrollo
TODO TELECOM SL,B53673364,2002-06-27,2024-12-31,5368547,9,Alicante,DENIA,"POLIGONO INDUSTRIAL JUYARCO (PTDA. MADRIGUERES SUD), 40 - A",0.0857056,38.8357966,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,"Distribuidores de telecomunicaciones, cámaras y CCTV, redes Wifi, TV y telefonía.",www.todotelecom.com,+34 96/5784463,distribuidores telecomunicación cámara cctv wifi telefonía,9.243945,6.514949,0,0_servicio_actividad_objeto_desarrollo
"PEISA VALENCIA, SA",A46160669,1981-08-04,2023-12-31,5342570,16,Valencia,PICANYA,"CALLE LA MARTINA (PG IND ALQUERIA MORET ), 16",-0.4245,39.43781,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,"Distribución de material eléctrico: media y baja tensión,transformadores,conductores,iluminación, leds, aire acondicionado, fotovoltáica,seguridad, alarmas, eficiencia energética.",www.peisa.com,+34 96/1594450,distribución material eléctrico medio bajo tensión transformador conductor iluminación leds aire acondicionado fotovoltáico seguridad alarma eficiencia energético,10.342994,7.017461,0,0_servicio_actividad_objeto_desarrollo
BEGALVI ASESORES LEGALES SOCIEDAD LIMITADA.,B97757678,2006-06-08,2024-12-31,5340644,16,Valencia,VALENCIA,"CALLE DE LES ARTS GRAFIQUES, 28 - 1 C",-0.36073,39.47609,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Gestión de actividades jurídicas y protección de datos.,www.begalvi.com,+34 96/3395052,gestión actividad jurídico protección dato,10.798523,0.7442616,0,0_servicio_actividad_objeto_desarrollo
BRAINSTORM MULTIMEDIA SL,B80767445,1993-12-13,2024-12-31,5279955,46,Valencia,PATERNA,"CALLE COETERS, 9 - NAVE 5",-0.44923608,39.51369861,"Programación, consultoría y otras actividades relacionadas con la informática",6201.0,Realización de software de realidad virtual para televisión.,www.brainstorm3d.com,+34 91/7816750,realización software realidad virtual televisión,12.087077,3.9479232,0,0_servicio_actividad_objeto_desarrollo
SESAME LABS SL,B98719818,2015-03-12,2023-12-31,5253093,184,Valencia,VALENCIA,"CALLE TRAVESSIA, S/N - BASE 1",-0.33415,39.44902038,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,"Artículo 2 . Objeto. I. La sociedad tendrá por objeto, el asesoramiento, comercialización, desarrollo, mantenimiento en integración y diseño para aplicaciones informáticas (CNAE 6209). II. Quedan excluidas del objeto social aquellas actividades que precisen por Ley de requisitos no cumplidos por",www.sesamehr.es,+34 96/0627351,artículo objeto sociedad objeto asesoramiento comercialización desarrollo mantenimiento integración diseño aplicación informático cnae 6209 quedar excluida objeto social actividad precisen requisito cumplido,14.457068,5.059941,0,0_servicio_actividad_objeto_desarrollo
"MASFARNE CUENCA, SA",A16005050,1964-01-01,2023-12-31,5221387,23,Alicante,ALCOI/ALCOY,"CL C (POLIGONO INDUSTRIAL COTES BAIXES), S/N, POL. INDUSTRIAL COTES BAIXE",-0.46368,38.71274,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Almacén y distribución de material eléctrico.,www.masfarne.info,+34 96/9234466,almacén distribución material eléctrico,10.159488,7.9322605,0,0_servicio_actividad_objeto_desarrollo
CONNECTIVITY WORLD GLOBAL SLU,B66347634,2014-07-30,2023-12-31,5208079,13,Valencia,VALENCIA,"CL MAR, 54",-0.37081,39.4732,Otras actividades de telecomunicaciones,6190.0,Conectividad internacional para el sector turismo.,www.connectivity.es,+34 93/1221743,conectividad internacional sector turismo,14.614273,2.1541712,0,0_servicio_actividad_objeto_desarrollo
CMATIC CONECTIVIDAD MATERIALES Y COMPONENTES SL,B81029241,1994-11-17,2024-12-31,5151626,15,Valencia,VALENCIA,"CL REIG GENOVES, 27",-0.37033,39.49211,"Comercio al por menor no realizado ni en establecimientos, ni en puestos de venta ni en mercadillos",4791.0,Comercio al por menor de equipos de telecomunicaciones y cableado.,www.cmatic.net,+34 91/6726508,comercio menor equipo telecomunicación cableado,9.619213,7.5703754,0,0_servicio_actividad_objeto_desarrollo
ELECTRONICA SARTE AUDIO ELITE SL,B46358958,1986-10-31,2024-12-31,5150793,23,Valencia,VALENCIA,"CALLE DEL PARE JOFRE, 22 - BAJO",-0.38214,39.46807,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Comercio al por mayor de equipos de sonido.,www.sarte-audio.com,+34 96/3510798,comercio equipo sonido,11.251024,8.105531,0,0_servicio_actividad_objeto_desarrollo
PROYING XXI INGENIERIA SL,B97293617,2003-01-23,2024-12-31,5108253,16,Valencia,PATERNA,"CALLE LA VALL D'UXO ((PG IND FUENTE DEL JARRO)), 14",0.0,0.0,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Servicios de ingeniería para hornos de cerámica industrial y mantenimiento de compresores,www.proying.com,+34 96/1341079,servicio ingeniería horno cerámica industrial mantenimiento compresor,7.88483,3.0724318,0,0_servicio_actividad_objeto_desarrollo
ASISTENCIA TECNICA Y JURIDICA CONSULTORES SL,B81010662,1994-11-02,2024-12-31,5101409,11,Valencia,VALENCIA,"CL DEL PALANCIA, 3",-0.3537,39.47839,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Servicios técnicos de ingeniería en general y administraciones publicas.,www.atjconsultores.com,+34 91/3573551,servicio técnico ingeniería general administración publica,7.9215946,3.1398058,0,0_servicio_actividad_objeto_desarrollo
I 2 SA,A46598926,1989-01-23,2023-12-31,5090544,41,Valencia,VALENCIA,"CALLE ISABEL LA CATOLICA, 8 - OFICINA 53",-0.37064,39.46896,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Herramientas para gestión informática licencias e instalación de kit digital,www.aitana.es,+34 96/3390290,herramientas gestión informático licencia instalación digital,13.476082,1.9668347,0,0_servicio_actividad_objeto_desarrollo
TECNOACUSTICA ZUMELZU SL,B12774220,2007-10-26,2024-12-31,5054776,20,Castellón,CASTELLO DE LA PLANA,"CALLE CUADRA SABONER, 134 - D",-0.07727,39.97229,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,LA ELABORACION DE ESTUDIOS INTEGRALES Y EJECUCION DE OBRAS TENDENTES A MATERIALIZAR SOLUCIONES E INSTALACIONES ACUSTICAS.,www.tecnoacustica.es,,elaboracion estudio integrales ejecucion obras tendentes materializar instalación acusticas,10.689547,3.3588648,0,0_servicio_actividad_objeto_desarrollo
DFLABS TECH SOLUTIONS SL.,B12936134,2014-08-19,2023-12-31,4932903,75,Castellón,ALQUERIES/ALQUERIAS NIÑO PERDIDO,"CALLE VALENCIA-LATE (P. I. ULL FONDO), 4",-0.12199,39.90251,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,Gestión y explotación de consultoría informática.,www.orbys.eu,+34 96/4247815,gestión explotación consultoría informático,11.558772,-1.200347,1,1_gestión_empresarial_consultoría_explotación
DYMSA INGENIERIA SOCIEDAD LIMITADA,B97677728,2005-12-27,2024-12-31,4894523,28,Valencia,PICASSENT,"CALLE 11 (POLIGONO INDUSTRIAL CODONYERS), 5 - BL.2 - NAVE 13",-0.44466592,39.35510641,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Realización de proyectos de ingeniería y automatización industrial y fabricación de maquinaria especial.,www.dymsaing.net,+34 96/2779322,realización proyecto ingeniería automatización industrial fabricación maquinaria especial,9.594138,3.3128223,0,0_servicio_actividad_objeto_desarrollo
A3 SIDES SOCIEDAD LIMITADA.,B98784176,2015-12-01,2024-12-31,4835092,8,Valencia,PATERNA,"CALLE MUSIC ANTONI CABEZA, 14 - BJ",-0.45349,39.50878,Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones en establecimientos especializados,4741.0,"Comercio al por menor de ordenadores y programas informáticos, principalmente software.",www.a3sides.es,+34 96/3856778,comercio menor ordenador programa informático principalmente softwarar,11.139455,8.184758,0,0_servicio_actividad_objeto_desarrollo
SPYRO SOFTWARE SL.,B20900601,2006-02-03,2024-12-31,4817728,49,Valencia,VALENCIA,"CL NARCIS MONTURIOL, PQ. TECNOLOGICO DE PATERNA, 4, C.E. DESTRO OFICINA 108ª",-0.38598,39.48355,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,Desarrollo de ERP.,www.spyrosoftware.com,+34 94/3335122,desarrollo,12.443667,4.694057,0,0_servicio_actividad_objeto_desarrollo
EMBENTION SISTEMAS INTELIGENTES SA,A54249602,2007-06-04,2023-12-31,4793169,100,Alicante,ALACANT/ALICANTE,"CALLE CHELIN, 16 - POL INDUSTRIAL LAS ATALAYA",-0.570126,38.340447,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,empresa líder en el sector de los vehículos autónomos,www.embention.com,+34 96/5115421,empresa líder sector vehículo autónomo,14.71481,5.201691,0,0_servicio_actividad_objeto_desarrollo
TECNOLOGIA Y SOLUCIONES INDUSTRIALES SOCIEDAD LIMITADA,B98212079,2010-01-04,2024-12-31,4779354,4,Valencia,L'ALCUDIA DE CRESPINS,"AVENIDA MESTRE SERRANO, 18",-0.58703,38.96765,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Venta al por mayor de productos eléctricos.,www.tsisoluciones.es,+34 96/0918171,ventar producto eléctrico,10.3389225,6.4892707,0,0_servicio_actividad_objeto_desarrollo
A4B GROUP CORP SL.,B40532129,2018-10-15,2023-12-31,4733693,37,Valencia,ALDAIA,"CALLE SAN PASCUAL, 62",-0.46473,39.46729,Actividades de consultoría de gestión empresarial,7022.0,Servicios de consultoría financiera.,,+34 68/2556565,servicio consultoría financiero,13.810228,0.06380724,0,0_servicio_actividad_objeto_desarrollo
PRODIGO INVERSIONES 2010 SL,B86039625,2010-09-29,2024-12-31,4728318,23,Valencia,LA POBLA DE VALLBONA,"CALLE AUSIAS MARCH (POL INDUSTRIAL LA POBLA), 3",-0.54701,39.58266,Actividades de consultoría de gestión empresarial,7022.0,"LA REALIZACION DE TODO TIPO DE ESTUDIOS ECONOMICOS, FINANCIEROS Y COMERCIALES, ASI COMO INMOBILIARIOS,",,+34 96/2725704,realizacion tipo estudios economicos financieros comerciales inmobiliarios,12.134402,1.3241504,0,0_servicio_actividad_objeto_desarrollo
PIKOLINO'S DISEÑO SL.,B54730262,2013-09-05,2024-04-30,4710927,10,Alicante,ELX/ELCHE,"CALLE GALILEO GALILEI (- PG IND DE TORRELLANO), 2",-0.6099468,38.288921,Actividades de diseño especializado,7410.0,"El diseño e investigación y desarrollo industrial aplicado a la creación y confección de todo tipo de modelos de calzado, bolsos y cualesquiera otros artículos o complementos relacionados con el sector de la marroquinería. Asimismo la empresa podrá dedicarse a la cesión del derecho de uso o explotac",,,diseño investigación desarrollo industrial aplicado creación confección tipo modelo calzado bolso cualesqueír artículo complemento relacionado sector marroquinería asimismo empresa dedicar_él cesión derecho explotac,12.499298,4.8506374,0,0_servicio_actividad_objeto_desarrollo
"MONEDERO INSTALACIONES Y SERVICIOS, SOCIEDAD ANONIMA",A28257400,1971-02-21,2024-12-31,4705890,38,Valencia,RIBA-ROJA DE TURIA,"PG INDUSTRIAL OLIVERAL, 78",-0.53789337,39.47944519,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490.0,Instalación y lectura de contadores de agua para comunidades.,www.grupomonedero.com,+34 91/4114870,instalación lectura contador agua comunidad,10.710716,3.2069392,0,0_servicio_actividad_objeto_desarrollo
POWER CASE IBERICA SL,B97218838,2002-04-12,2024-12-31,4667446,22,Valencia,PICANYA,"CALLE SEQUIA DE MESTALLA, 5",-0.42424,39.43678,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4651.0,Comercio al por mayor de productos tecnológicos.,www.powercase.es,+34 96/1594290,comercio producto tecnológico,10.6875515,8.128791,0,0_servicio_actividad_objeto_desarrollo
ELEVEN ELEVEN ENTERPRISES SL.,B87473096,2016-01-15,2023-12-31,4667426,14,Valencia,VALENCIA,"CALLE JOSEP BENLLIURE, 273",-0.32959,39.4726,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,Consulta de software.,www.simms-associates.com,+34 67/8950683,consulta software,13.714373,0.7943886,0,0_servicio_actividad_objeto_desarrollo
SPORT MANAGEMENT TONO SL.,B54793534,2014-07-01,2024-12-31,4662278,43,Alicante,ONIL,"CALLE DELS SINDICATS, 2",-0.67172836,38.61843959,Actividades de consultoría de gestión empresarial,7022.0,Venta de material deportivo.,,+34 96/5564471,venta material deportivo,10.453867,6.204913,0,0_servicio_actividad_objeto_desarrollo
MICROREPUESTOS SL.,B54848346,2015-03-16,2024-12-31,4660204,6,Alicante,CREVILLENT,"CALLE DON ALARICO LOPEZ TERUEL, 7 - LOC 2",-0.80513,38.2486,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,"El comercio al por mayor y menor de repuestos y accesorios de equipos electrónicos, como telefonía, ordenadores, videoconsolas, impresoras y consumibles para estos mismos aparatos, así como la reparación de los mismos",,,comercio menor repuesto accesorio equipo electrónico telefonía ordenador videoconsola impresora consumibl aparato reparación,9.6931715,7.0599413,0,0_servicio_actividad_objeto_desarrollo
EUROFINS TRIALCAMP SL.,B96284492,1994-03-28,2023-12-31,4660022,41,Valencia,ALCASSER,"AVENIDA ANTIC REGNE DE VALENCIA, 25",-0.43697,39.36665,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Investigaciones agrarias.,www.eurofins.com,+34 96/2986143,investigación agrario,14.589647,2.85455,0,0_servicio_actividad_objeto_desarrollo
CEESI ASESORES SL,B96184478,1993-06-01,2023-12-31,4650266,66,Valencia,ALBORAIA/ALBORAYA,"CALLE DELS CERAMISTES (PG. IND. CM. DEL MAR), 19",-0.33651026,39.51191247,"Programación, consultoría y otras actividades relacionadas con la informática",6203.0,"Consultoría ,desarrollo e implantación de software y suministro de programas de informáticas.",www.ahora.es,+34 96/3021000,consultoría desarrollo implantación software suministro programa informática,13.54655,0.78350693,0,0_servicio_actividad_objeto_desarrollo
LOGOPOST SA.,A46349676,1986-07-04,2023-12-31,4611813,35,Valencia,PATERNA,"CALLE CARBONER (POL INDUSTRIAL TACTICA), 24",-0.45605,39.51677,Actividades de diseño especializado,7410.0,"Diseño, gestión de proyectos, contract de señalética, implantación de proyectos, merchandising y soluciones digitales.",www.logopost.es,+34 96/1341030,diseño gestión proyecto contract señalética implantación proyecto merchandising solución digital,12.934411,3.7635055,0,0_servicio_actividad_objeto_desarrollo
TOP VALUE PLAYERS SOCIEDAD LIMITADA.,B98840614,2016-07-01,2023-12-31,4545223,15,Valencia,VALENCIA,"AVENIDA DEL PORT, 3 - PISO 4 PTA 7",-0.35935,39.46805,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490.0,"La sociedad tiene por objeto el desarrollo de las actividades correspondientes a los siguientes códigos y descripciones de la Clasificación Nacional de Actividades Económicas: ACTIVIDAD PRINCIPAL: 7490. Otras actividades profesionales, científicas y técnicas n. c. o. p. Si alguna de las actividades ele",,,sociedad objeto desarrollo actividad correspondiente siguiente código descripción clasificación nacional actividades económicas actividad principal 7490 actividad profesional científico técnico actividad,15.124972,3.0831468,0,0_servicio_actividad_objeto_desarrollo
MERCADOIT SOCIEDAD DE RESPONSABILIDAD LIMITADA.,B98339005,2011-04-01,2024-12-31,4544472,20,Valencia,PATERNA,"CALLE CIUTAT DE CARTAGENA (POL INDUSTRIAL FU), 23",-0.47649,39.51846,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,"Venta e instalacion de maerial electrónico de telecomunicaciones, informático...Gestión de servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico en general.",www.mercadoit.com,+34 96/1501080,venta instalacion maerial electrónico telecomunicación informático gestión servicio técnico ingeniería actividad relacionado asesoramiento técnico general,10.684087,5.2371693,0,0_servicio_actividad_objeto_desarrollo
SOLUCIONES TECNICAS ELECTRICAS 2013 SL.,B98585326,2013-11-13,2024-12-31,4531068,39,Valencia,VALENCIA,"CALLE PARE URBANO, 45 - 4 5",-0.37022,39.48847,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,"La sociedad tendrá por objeto: (CNAE 2009: 71.12). Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico. La instalación, montaje, reparación y mantenimiento de todo tipo de instalaciones eléctricas. Las instalaciones y reparación de fontanería y calefacción",,,sociedad objeto cnae 71.12 servicio técnico ingeniería actividad relacionado asesoramiento técnico instalación montaje reparación mantenimiento tipo instalación eléctrico instalación reparación fontanería calefacción,14.915263,3.737415,0,0_servicio_actividad_objeto_desarrollo
ANAHORET SL.,B54796974,2014-07-02,2024-12-31,4520792,10,Alicante,EL CAMPELLO,"AVENIDA FABRAQUER, 7 - 7 DR",-0.40895,38.40637,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,"Consultora en nuevas tecnologias. Desarrollo y subcontratación, programación, distribución, venta, exportación e importación de software y material informático",,+34 96/5168223,consultora tecnologia desarrollo subcontratación programación distribución venta exportación importación software material informático,11.470277,5.3948755,0,0_servicio_actividad_objeto_desarrollo
INLOGIQ SOFWARE QUALITY SOCIEDAD LIMITADA.,B98867054,2016-11-04,2023-12-31,4518891,49,Valencia,VALENCIA,"AVENIDA DE CATALUNYA, 9 - ENT",-0.35539,39.47884,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,"la prestación de servicios de consultoría, asesoría y formación informática (CNAE 6202) en el ámbito de la calidad de desarrollo del software. Las actividades que componen el objeto social se realizarán por medio de los correspondientes profesionales cuando así sea preciso. Quedan excluidas del obje",,,prestación servicio consultoría asesoer formación informático cnae ámbito calidad desarrollo software actividad componer objeto social realizar correspondiente profesional preciso quedar excluida obje,13.888813,3.3964376,0,0_servicio_actividad_objeto_desarrollo
EGARMATIC SA,A08383283,1975-08-19,2023-12-31,4517825,30,Castellón,ALCALA DE XIVERT,"CL VILLANUEVA, 1",0.22208,40.30321,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Servicios informáticos para empresas,www.egarmatic.es,+34 93/7365050,servicio informático empresa,12.904819,0.13586447,0,0_servicio_actividad_objeto_desarrollo
CENTRO TECNOLOGICO VIDRES SL.,B12878278,2011-12-14,2023-12-31,4501506,72,Castellón,VILA-REAL,"CARRETERA CV-20 (DE ONDA KM 3,400)",-0.142822,39.946091,Actividades de diseño especializado,7410.0,"Actividades de diseño, investigación y desarrollo.",www.vidres.com,+34 96/4520562,actividades diseño investigación desarrollo,14.9109,2.8645585,0,0_servicio_actividad_objeto_desarrollo
"VERTICE INGENIERIA TECH, SOCIEDAD LIMITADA.",B97327167,2003-04-17,2024-12-31,4500803,46,Valencia,PATERNA,"CALLE CORRETGER (PQ. EMPRESARIAL TACTICA), 97",-0.46267,39.52713,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Planificación y diseño de proyectos y asesoramiento técnico,www.verticevertical.com,+34 96/1640051,planificación diseño proyecto asesoramiento técnico,10.287266,3.032141,0,0_servicio_actividad_objeto_desarrollo
POWER ELECTRONICS SOFTWARE SOCIEDAD LIMITADA.,B02682383,2020-10-15,2024-12-31,4489910,77,Valencia,LLIRIA,"POLIGONO INDUSTRIAL CARRASES (RD DE L'AVIACIO), 4",-0.59442849,39.6258636,"Programación, consultoría y otras actividades relacionadas con la informática",6201.0,"El desarrollo de software, así como de herramientas y aplicaciones informáticas para su aplicación tanto en el entorno industrial y empresarial, como a nivel de usuario",,,desarrollo software herramienta aplicación informático aplicación entorno industrial empresarial nivel usuario,12.376592,3.9690666,0,0_servicio_actividad_objeto_desarrollo
LABORATORIOS TACSA SL,B97296768,2003-01-28,2024-03-31,4462408,56,Valencia,CATARROJA,"CALLE SENDA DE LES ANIMES (PG EL BONY), 10",-0.39771,39.40046,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490.0,Análisis alimentarios.,www.laboratoriostacsa.com,+34 96/1260549,análisis alimentario,11.871587,3.8239756,0,0_servicio_actividad_objeto_desarrollo
SHOPPERTRAK IBERICA SL.,B81097636,1995-02-22,2024-09-30,4460487,24,Valencia,VALENCIA,"CL TRAGINERS, 14",-0.40719,39.46003,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Intermediarios de equipos electrónicos,www.es.shoppertrak.com,+34 90/0696699,intermediario equipo electrónico,9.865471,7.956119,0,0_servicio_actividad_objeto_desarrollo
SALES LAYER TECH SOCIEDAD LIMITADA.,B12915823,2013-09-11,2024-12-31,4435326,60,Valencia,VALENCIA,"CALLE CRONISTA CARRERES, 11 - 1",-0.36772,39.4731,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Diseño de producto para catalogo on line y asesoría informática.,www.saleslayer.com,+34 66/2867139,diseño producto catalogo line asesoer informático,12.761855,4.9239573,0,0_servicio_actividad_objeto_desarrollo
B2B SALUD SL,B54465679,2009-12-03,2024-12-31,4391341,36,Valencia,VALENCIA,"AVENIDA DE LES CORTS VALENCIANES, 58",-0.40151959,39.49530437,Actividades de consultoría de gestión empresarial,7022.0,Gestión de consultoría de gestión empresarial y hospitalaria,,+34 96/3462591,gestión consultoría gestión empresarial hospitalario,11.557761,-1.352826,1,1_gestión_empresarial_consultoría_explotación
ALMIS INFORMATICA FINANCIERA SL,B20481446,1994-03-10,2023-12-31,4381815,88,Valencia,VALENCIA,CL DE SANT VICENT MARTIR,-0.37559,39.47366,"Programación, consultoría y otras actividades relacionadas con la informática",6201.0,Consultoría y desarrollo financiero.,www.almis.com,+34 94/3712099,consultoría desarrollo financiero,12.6593895,0.92599493,0,0_servicio_actividad_objeto_desarrollo
